title_ru,page_num,title_en,href
Когда плачут цикады: Вспышка,121,Higurashi no Naku Koro ni Kaku: Outbreak,https://shikimori.one/animes/z16700-higurashi-no-naku-koro-ni-kaku-outbreak
Багровые осколки 2,121,Hiiro no Kakera Dai Ni Shou,https://shikimori.one/animes/14645-hiiro-no-kakera-dai-ni-shou
Голос далёкой звезды,121,Hoshi no Koe,https://shikimori.one/animes/z256-hoshi-no-koe
Охотник х Охотник: Алая иллюзия,121,Hunter x Hunter Movie 1: Phantom Rouge,https://shikimori.one/animes/z13271-hunter-x-hunter-movie-1-phantom-rouge
Ресторан ужасов,121,Kaidan Restaurant,https://shikimori.one/animes/6980-kaidan-restaurant
Флона на чудесном острове,121,Kazoku Robinson Hyouryuuki: Fushigi na Shima no Flone,https://shikimori.one/animes/2544-kazoku-robinson-hyouryuuki-fushigi-na-shima-no-flone
Беспокойные сердца,121,Kimi ga Nozomu Eien,https://shikimori.one/animes/147-kimi-ga-nozomu-eien
Дракон-горничная госпожи Кобаяши: Спешлы,121,Kobayashi-san Chi no OO Dragon,https://shikimori.one/animes/35145-kobayashi-san-chi-no-oo-dragon
Котора-сан,122,Kotoura-san,https://shikimori.one/animes/15379-kotoura-san
Призрак в доспехах: Вознесение — Альтернативное построение,122,Koukaku Kidoutai Arise: Alternative Architecture,https://shikimori.one/animes/29325-koukaku-kidoutai-arise-alternative-architecture
