href,title_en,page_num,title_ru
https://shikimori.one/animes/20651-natsume-yuujinchou-itsuka-yuki-no-hi-ni,Natsume Yuujinchou: Itsuka Yuki no Hi ni,9,Тетрадь дружбы Нацумэ: Однажды зимним днём
https://shikimori.one/animes/5040-one-outs,One Outs,9,Один на вылет
https://shikimori.one/animes/z28701-fate-stay-night-unlimited-blade-works-2nd-season,Fate/stay night: Unlimited Blade Works 2nd Season,9,Судьба/Ночь схватки: Бесконечный мир клинков 2
https://shikimori.one/animes/1698-nodame-cantabile,Nodame Cantabile,9,Нодамэ Кантабиле
https://shikimori.one/animes/37055-youjo-senki-movie,Youjo Senki Movie,10,Военная хроника маленькой девочки. Фильм
https://shikimori.one/animes/y5081-bakemonogatari,Bakemonogatari,10,Истории монстров
https://shikimori.one/animes/z137-hunter-x-hunter-yorkshin-city-kanketsu-hen,Hunter x Hunter: Yorkshin City Kanketsu-hen,10,Охотник х Охотник OVA
https://shikimori.one/animes/z18115-magi-the-kingdom-of-magic,Magi: The Kingdom of Magic,10,Маги: Королевство магии
https://shikimori.one/animes/4081-natsume-yuujinchou,Natsume Yuujinchou,10,Тетрадь дружбы Нацумэ
https://shikimori.one/animes/1210-nhk-ni-youkoso,NHK ni Youkoso!,10,Добро пожаловать в NHK
https://shikimori.one/animes/513-tenkuu-no-shiro-laputa,Tenkuu no Shiro Laputa,10,Небесный замок Лапута
https://shikimori.one/animes/z338-versailles-no-bara,Versailles no Bara,10,Роза Версаля
https://shikimori.one/animes/37095-violet-evergarden-kitto-ai-wo-shiru-hi-ga-kuru-no-darou,"Violet Evergarden: Kitto ""Ai"" wo Shiru Hi ga Kuru no Darou",10,"Вайолет Эвергарден: День, когда ты поймёшь, что я люблю тебя, обязательно наступит"
https://shikimori.one/animes/1365-detective-conan-movie-06-the-phantom-of-baker-street,Detective Conan Movie 06: The Phantom of Baker Street,10,Детектив Конан: Призрак с Бейкер-Стрит
https://shikimori.one/animes/z6945-gintama-shiroyasha-koutan,Gintama: Shiroyasha Koutan,10,Гинтама: Рождение Белого Демона
https://shikimori.one/animes/9617-eiga-k-on,Eiga K-On!,10,Кэйон в кино!
https://shikimori.one/animes/z31812-kuroshitsuji-movie-book-of-the-atlantic,Kuroshitsuji Movie: Book of the Atlantic,10,Тёмный дворецкий: Глава об Атлантике
https://shikimori.one/animes/34534-natsume-yuujinchou-go-specials,Natsume Yuujinchou Go Specials,10,Тетрадь дружбы Нацумэ 5: Спешлы
https://shikimori.one/animes/z45-rurouni-kenshin-meiji-kenkaku-romantan,Rurouni Kenshin: Meiji Kenkaku Romantan,10,Бродяга Кэнсин
https://shikimori.one/animes/32282-shokugeki-no-souma-ni-no-sara,Shokugeki no Souma: Ni no Sara,10,Повар-боец Сома: Второе блюдо
https://shikimori.one/animes/2418-stranger-mukou-hadan,Stranger: Mukou Hadan,10,Меч чужака
